row_index,risk_score,class,feature,feature_value,contribution
244004,1.0,1,V14,-13.4817046750119,0.15224143792995518
244004,1.0,1,V12,-8.66303057554101,0.08697112162464456
244004,1.0,1,V10,-2.32511344137919,0.06914193890338399
244004,1.0,1,V17,-5.65176527245489,0.06174261189056038
244004,1.0,1,V11,4.3557700196603,0.04429254812404488
244004,1.0,1,V4,7.74321514676806,0.037871224250712404
244004,1.0,1,V16,-4.28795983864998,0.032808471564099724
244004,1.0,1,V3,-8.39242279138696,0.026899053394874504
15566,1.0,1,V14,-7.3272215995796,0.1434551591171318
15566,1.0,1,V12,-7.22001986441493,0.0878080654022335
15566,1.0,1,V10,-8.51176669710133,0.06764005555636257
15566,1.0,1,V17,-12.6888576275064,0.05800326872778534
15566,1.0,1,V11,5.1385473219039,0.042841446957684506
15566,1.0,1,V4,6.26173255148578,0.039870759837704044
15566,1.0,1,V16,-6.33151509399145,0.034530041279672595
15566,1.0,1,V3,-25.1887729688701,0.02883386119378649
178208,1.0,1,V14,-5.853545070898,0.1489170098538328
178208,1.0,1,V12,-6.40830067684822,0.09309472289391783
178208,1.0,1,V10,-4.89115620289902,0.07338623640997234
178208,1.0,1,V17,-12.62385610867,0.06297726058442234
178208,1.0,1,V11,4.22041859352387,0.04250749101445811
178208,1.0,1,V16,-7.08579817642873,0.03994200090372936
178208,1.0,1,V4,7.78868440738042,0.03382921968324128
178208,1.0,1,V3,-8.63180221299529,0.02876111826792493
76609,1.0,1,V14,-7.97425052332349,0.15080100067624763
76609,1.0,1,V12,-8.24589788162945,0.09276944827162557
76609,1.0,1,V10,-7.86450647898838,0.07642199521931095
76609,1.0,1,V17,-12.7600939511044,0.06404551458959418
76609,1.0,1,V11,4.77414774007074,0.04114808587912948
76609,1.0,1,V4,6.99121396498416,0.038991293919872196
76609,1.0,1,V16,-7.24434047432354,0.035953504294711225
76609,1.0,1,V3,-7.68276685719257,0.029126867118765738
15539,1.0,1,V14,-7.57755201800709,0.14205440646209921
15539,1.0,1,V12,-7.39361499215009,0.0891870430383014
15539,1.0,1,V10,-8.58126551626339,0.0674253772359745
15539,1.0,1,V17,-12.8456565242928,0.05803426929640895
15539,1.0,1,V11,5.25698760960799,0.04299268088409703
15539,1.0,1,V4,6.23253182330679,0.03991232924191757
15539,1.0,1,V16,-6.45478323655342,0.03433483345017328
15539,1.0,1,V3,-24.6438187771226,0.028836627029752974
15781,1.0,1,V14,-6.57627643636006,0.1433684438640191
15781,1.0,1,V12,-6.6992520739678,0.08806064022720811
15781,1.0,1,V10,-8.303239351259,0.06766503621075186
15781,1.0,1,V17,-12.2184817176797,0.05811269568309077
15781,1.0,1,V11,4.78325736701241,0.04253217016455178
15781,1.0,1,V4,6.34924780743689,0.04003036950678895
15781,1.0,1,V16,-5.96165987257541,0.03485430121112973
15781,1.0,1,V3,-26.8236729135114,0.028797759023713503
15751,1.0,1,V14,-6.82658448658054,0.1434941084702992
15751,1.0,1,V12,-6.87283866404082,0.0880209677691796
15751,1.0,1,V10,-8.37275316035861,0.06765176664939487
15751,1.0,1,V17,-12.375270529796,0.058101466793379485
15751,1.0,1,V11,4.90168265513877,0.04289294640470418
15751,1.0,1,V4,6.32008926518927,0.04000581615207803
15751,1.0,1,V16,-6.08495266503583,0.034717795465372854
15751,1.0,1,V3,-26.2787005866145,0.028824176806706365
11880,1.0,1,V14,-13.7610179615936,0.13830782594345553
11880,1.0,1,V12,-14.0560611837648,0.08671683096909709
11880,1.0,1,V10,-13.0888909176936,0.07056318963024391
11880,1.0,1,V17,-11.9629542349435,0.059674165744839115
11880,1.0,1,V4,11.8648680803607,0.0455671745306146
11880,1.0,1,V11,9.81570317447819,0.038837625521497394
11880,1.0,1,V16,-7.95744722625995,0.03671705739319987
11880,1.0,1,V3,-22.8046864614815,0.03193717112340127
